
Média: 5.843
Desvio Padrão: 0.825
btw
1 [ 5.1 ] :['26/10/2018', '5.1', '3.5', '1.4', '0.2', 'setosa']
73 [ 6.3 ] :['02/05/2018', '6.3', '2.5', '4.9', '1.5', 'versicolor']
74 [ 6.1 ] :['30/04/2018', '6.1', '2.8', '4.7', '1.2', 'versicolor']
75 [ 6.4 ] :['27/04/2018', '6.4', '2.9', '4.3', '1.3', 'versicolor']
76 [ 6.6 ] :['25/04/2018', '6.6', '3.0', '4.4', '1.4', 'versicolor']
79 [ 6.0 ] :['18/04/2018', '6.0', '2.9', '4.5', '1.5', 'versicolor']
80 [ 5.7 ] :['16/04/2018', '5.7', '2.6', '3.5', '1.0', 'versicolor']
81 [ 5.5 ] :['13/04/2018', '5.5', '2.4', '3.8', '1.1', 'versicolor']
82 [ 5.5 ] :['11/04/2018', '5.5', '2.4', '3.7', '1.0', 'versicolor']
83 [ 5.8 ] :['09/04/2018', '5.8', '2.7', '3.9', '1.2', 'versicolor']
84 [ 6.0 ] :['06/04/2018', '6.0', '2.7', '5.1', '1.6', 'versicolor']
85 [ 5.4 ] :['04/04/2018', '5.4', '3.0', '4.5', '1.5', 'versicolor']
86 [ 6.0 ] :['02/04/2018', '6.0', '3.4', '4.5', '1.6', 'versicolor']
88 [ 6.3 ] :['28/03/2018', '6.3', '2.3', '4.4', '1.3', 'versicolor']
89 [ 5.6 ] :['26/03/2018', '5.6', '3.0', '4.1', '1.3', 'versicolor']
90 [ 5.5 ] :['23/03/2018', '5.5', '2.5', '4.0', '1.3', 'versicolor']
91 [ 5.5 ] :['21/03/2018', '5.5', '2.6', '4.4', '1.2', 'versicolor']
92 [ 6.1 ] :['19/03/2018', '6.1', '3.0', '4.6', '1.4', 'versicolor']
93 [ 5.8 ] :['16/03/2018', '5.8', '2.6', '4.0', '1.2', 'versicolor']
95 [ 5.6 ] :['12/03/2018', '5.6', '2.7', '4.2', '1.3', 'versicolor']
96 [ 5.7 ] :['09/03/2018', '5.7', '3.0', '4.2', '1.2', 'versicolor']
97 [ 5.7 ] :['07/03/2018', '5.7', '2.9', '4.2', '1.3', 'versicolor']
98 [ 6.2 ] :['05/03/2018', '6.2', '2.9', '4.3', '1.3', 'versicolor']
99 [ 5.1 ] :['02/03/2018', '5.1', '2.5', '3.0', '1.1', 'versicolor']
100 [ 5.7 ] :['28/02/2018', '5.7', '2.8', '4.1', '1.3', 'versicolor']
101 [ 6.3 ] :['26/02/2018', '6.3', '3.3', '6.0', '2.5', 'virginica']
102 [ 5.8 ] :['23/02/2018', '5.8', '2.7', '5.1', '1.9', 'virginica']
104 [ 6.3 ] :['19/02/2018', '6.3', '2.9', '5.6', '1.8', 'virginica']
105 [ 6.5 ] :['16/02/2018', '6.5', '3.0', '5.8', '2.2', 'virginica']
111 [ 6.5 ] :['31/01/2018', '6.5', '3.2', '5.1', '2.0', 'virginica']
112 [ 6.4 ] :['29/01/2018', '6.4', '2.7', '5.3', '1.9', 'virginica']
114 [ 5.7 ] :['24/01/2018', '5.7', '2.5', '5.0', '2.0', 'virginica']
115 [ 5.8 ] :['22/01/2018', '5.8', '2.8', '5.1', '2.4', 'virginica']
116 [ 6.4 ] :['19/01/2018', '6.4', '3.2', '5.3', '2.3', 'virginica']
117 [ 6.5 ] :['17/01/2018', '6.5', '3.0', '5.5', '1.8', 'virginica']
120 [ 6.0 ] :['10/01/2018', '6.0', '2.2', '5.0', '1.5', 'virginica']
122 [ 5.6 ] :['05/01/2018', '5.6', '2.8', '4.9', '2.0', 'virginica']
124 [ 6.3 ] :['02/01/2018', '6.3', '2.7', '4.9', '1.8', 'virginica']
127 [ 6.2 ] :['26/12/2017', '6.2', '2.8', '4.8', '1.8', 'virginica']
128 [ 6.1 ] :['22/12/2017', '6.1', '3.0', '4.9', '1.8', 'virginica']
129 [ 6.4 ] :['20/12/2017', '6.4', '2.8', '5.6', '2.1', 'virginica']
133 [ 6.4 ] :['11/12/2017', '6.4', '2.8', '5.6', '2.2', 'virginica']
134 [ 6.3 ] :['08/12/2017', '6.3', '2.8', '5.1', '1.5', 'virginica']
135 [ 6.1 ] :['06/12/2017', '6.1', '2.6', '5.6', '1.4', 'virginica']
137 [ 6.3 ] :['01/12/2017', '6.3', '3.4', '5.6', '2.4', 'virginica']
138 [ 6.4 ] :['29/11/2017', '6.4', '3.1', '5.5', '1.8', 'virginica']
139 [ 6.0 ] :['27/11/2017', '6.0', '3.0', '4.8', '1.8', 'virginica']
143 [ 5.8 ] :['17/11/2017', '5.8', '2.7', '5.1', '1.9', 'virginica']
147 [ 6.3 ] :['08/11/2017', '6.3', '2.5', '5.0', '1.9', 'virginica']
148 [ 6.5 ] :['06/11/2017', '6.5', '3.0', '5.2', '2.0', 'virginica']
149 [ 6.2 ] :['03/11/2017', '6.2', '3.4', '5.4', '2.3', 'virginica']
150 [ 5.9 ] :['01/11/2017', '5.9', '3.0', '5.1', '1.8', 'virginica']
